OBJECTID,Código del establecimiento,Nombre de la sede,Orden de la sede,Sector,Tipo de administración,Naturaleza jurídica,Dirección,Número telefónico,Número de fax,Correo electrónico,Página WEB,Calendario,Jornada,Nivel de atención,Tipo de discapacidad atendida,Tipo de talento especial,Grupo étnico atendido,Situación de conflicto atendida,Categoría por resultado pruebas SABER 11,Nombre Rector,Matriculados,Tasa de deserción escolar (%),Zona,Género,coord_x,coord_y
24,311001030456,INSTITUTO ACADEMICO BETHEL,A,No Oficial,Privado,Comunidad Religiosa,AV CARACAS # 15 - 20 SUR,3668592,7449188,bethelinstitutoacademico@gmail.com / iabethel@hotmail.com / rectoriabethel@hotmail.com,www.iabethel.edu.co,A,Única,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A,JEISSON FREDY ALEXANDER ORTIZ QUIROZ,415,0,Urbana,Mixto,"-74,09740424179527","4,583800934974011"
87,311001040362,LICEO SAN JOSE ORIENTAL,A,No Oficial,Privado,Sociedad,CL 41 A SUR # 12 A - 75 ESTE,3624663,,liceosanjose74@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A,ALVARO CASTILLO BARRIOS,625,0,Urbana,Mixto,"-74,08373539109216","4,546536286390922"
91,311001087318,COLEGIO PSICOPEDAGOGICO JUANITO BOSCO,A,No Oficial,Privado,Persona Natural,KR 1 # 42 - 43 SUR,2072017 / 3134205161,,cpjbosco@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,ANA ROSA BENAVIDES DE ACUA,30,"5,26",Urbana,Mixto,"-74,09956908640858","4,549688568391565"
92,311001092010,COLEGIO JOSE DAVID GUARIN,A,No Oficial,Privado,Persona Natural,CL 62 SUR # 14 I - 28 ESTE,3656977 / 2397997 / 3106897848 / 31032644446,3656977,colegiojosedavidguarin@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,LUZ MARINA HERNANDEZ TORRES,61,0,Urbana,Mixto,"-74,08690498697771","4,528463329183647"
93,311001029920,COLEGIO SANTA CATALINA DEL SURORIENTE,A,No Oficial,Privado,Persona Natural,TV 14 A ESTE # 54 - 68 SUR,3719246,,colsantacatalinaso@gmail.com,,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,B,RUBY PERCIDES PORTILLA GONZALEZ,266,0,Urbana,Mixto,"-74,08682076722489","4,533086519554604"
94,311001101639,COLEGIO SAN MATEO SURORIENTAL,A,No Oficial,Privado,Persona Natural,DG 51 A SUR # 10 - 42 ESTE,5995141 / 3716027 / 3124812809,5995141,colsanmateo21@yahoo.es,,A,Mañana,"Preescolar, Básica Primaria",Otra,,,,No Aplica,SONIA ISABEL PARRA RAMIREZ,161,No Aplica,Urbana,Mixto,"-74,09111812338948","4,539465674817635"
95,311001092184,LICEO SANTILLANA,A,No Oficial,Privado,Persona Natural,KR 2 A ESTE # 46 B - 33 SUR,2068527 / 3183126065,,santi2286@hotmail.com / jur-14@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",Cognitiva,,,,No Aplica,JUDITH RODRIGUEZ RINCON,247,0,Urbana,Mixto,"-74,09773436817062","4,54559716277195"
96,311001004986,COLEGIO NUESTRA SEÑORA DE LA SABIDURIA,A,No Oficial,Privado,Comunidad Religiosa,CL 22 SUR # 11 B - 51,2393742 / 8012122,2090332,rectoria@colsabibogota.edu.co / secretariaacademica@colsabibogota.edu.co,www.colsabibogota.edu.co,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",Motora,,,Desplazado,A+,HNA MIREYA TAPIAS GARCIA,995,0,Urbana,Mixto,"-74,09824370575019","4,577486350152148"
97,311001093881,JARDIN INFANTIL EL PORTAL DEL SOSIEGO,A,No Oficial,Privado,Persona Natural,KR 11 # 24 - 03 SUR,2398020,,elportaldelsociego@hotmail.com / portaldelsociego@hotmail.com,,A,Mañana,Preescolar,,,,,No Aplica,EDNA OMAIRA QUINTERO AVELLANEDA,39,0,Urbana,Mixto,"-74,09888381378062","4,5755838281154295"
98,311001102325,LICEO PSICOPEDAGOGICO SENDEROS DEL CONOCIMIENTO,A,No Oficial,Privado,Persona Natural,CL 32 BIS # 17 - 26 SUR,4075472 / 3613156,4075472 / 3613156,senderos_del_conocimiento@hotmail.com,,A,Mañana,Preescolar,Motora / Cognitiva,,,,No Aplica,ANA RUTH GOMEZ HERRERA,88,0,Urbana,Mixto,"-74,11331142289521","4,576163282241525"
100,311001026459,LICEO LORENZO GRACIAN,A,No Oficial,Privado,Persona Natural,KR 15 A BIS # 31 F - 23 SUR,2789568,,liceolorenzogracian77@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,ALCIRA CHAPARRO FONSECA,106,0,Urbana,Mixto,"-74,11064065519871","4,574940154311351"
101,311001025207,COLEGIO ALVARO CAMARGO DE LA TORRE ETB,A,No Oficial,Privado,Persona Natural,KR 12 BIS # 31 - 45 SUR,2396240 / 2396685 / 2396180,2090627,adriana.mesab@etb.com.co,,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A,ANA MERCEDES BALLESTEROS RODRIGUEZ,629,0,Urbana,Mixto,"-74,10804446833207","4,570064374849594"
102,311001106142,JARDIN INFANTIL BOSQUE DE SAN CARLOS,A,No Oficial,Privado,Asociación,CL 31 F SUR # 13 - 49,3611466 / 2723701,2723701 / 3611466,sonyyoly@hotmail.com / sonysan17@gmail.com,,A,Mañana,Preescolar,,,,,No Aplica,SONIA YOLANDA MUÑOZ RUBIO,77,0,Urbana,Mixto,"-74,10736961166982","4,572387821808843"
103,311001002321,COLEGIO PARROQUIAL SAN JUAN BAUTISTA DE LA SALLE,A,No Oficial,Privado,Comunidad Religiosa,CL 22 B SUR # 10 A - 04,2095701 / 7581010,2723978,colparsjbs@cable.net.co / colparns50@gimail.com,,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,A+,RUBEN DARIO HERNANDEZ PERDOMO,574,0,Urbana,Mixto,"-74,09641809103931","4,575431232278208"
106,311001039119,COLEGIO INTEGRAL DANIELISTA,A,No Oficial,Privado,Sociedad,CL 26 SUR # 8 A - 25,2783262 / 3208351129,2397519,jdejcp@gmail.com / danitra@terra.com.co,,A,Mañana,"Preescolar, Básica Primaria",Motora / Cognitiva,,,,No Aplica,JUAN DE JESUS CAICEDO PARRA,623,"0,18",Urbana,Mixto,"-74,09659135629468","4,571760993158093"
107,311001099049,LICEO PREESCOLAR EL TESORO DEL SABER,A,No Oficial,Privado,Persona Natural,KR 5 A # 30 D - 93 SUR,3613348 / 3158915486,3613348,lptesorodelsaber@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,MARTHA JANNETH PEÑARANDA DIAZ,68,5,Urbana,Mixto,"-74,09805850278302","4,565804132570262"
109,311001087326,COLEGIO NUESTRA SEÑORA DE LA ALEGRIA,A,No Oficial,Privado,Persona Natural,TV 1 C BIS # 36 C - 55 SUR,2076640 / 3674575 / 3138777586 / 3172191652,,col_alegria@hotmail.com / colegiontasraalegria@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria",,,,,No Aplica,PADRE GONZALO JARAMILLO HOYOS,108,0,Urbana,Mixto,"-74,09727233228065","4,5583091000176275"
110,311001108374,LICEO PSICOPEDAGOGICO MARCO FIDEL SUAREZ,A,No Oficial,Privado,Persona Natural,DG 46 SUR # 14 A - 40,7604301,,lpmfs2007@hotmail.com,,A,Única,Preescolar / Básica Primaria,,,,,No Aplica,JULIETH AIDE DELGADILLO ROJAS,340,"0,40",Urbana,Mixto,"-74,11833513164572","4,567985034933071"
111,311001092818,NUEVO LICEO SANTA CLARA,A,No Oficial,Privado,Persona Natural,KR 10 # 49 F - 90 SUR,7608902 / 2055591 / 2796573,2796573,nuevoliceosantaclara@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",,,,,B,CLARA ISABEL ESPINOSA ROMERO,395,0,Urbana,Mixto,"-74,1206539232442","4,558997497029244"
112,311001077681,LICEO NUEVA FANTASIA,A,No Oficial,Privado,Persona Natural,KR 6 A # 49 H - 36 SUR,2792280 / 5675717,2792280,liceonuevafantasia@hotmail.com / liceonuevafantasia@gmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,SILVIA ELVIRA POVEDA GOMEZ,202,0,Urbana,Mixto,"-74,11993963593088","4,556155214346322"
113,311001046611,LICEO INFANTIL DESPERTAR,A,No Oficial,Privado,Sociedad,KR 5 X # 49 G - 51 SUR,2055909,,licifadespertar@gmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,DIANA CAROLINA MARTINEZ FORERO,216,0,Urbana,Mixto,"-74,11911272772869","4,5547997677950685"
115,311001089981,INSTITUTO GUSTAVO ADOLFO BECQUER,A,No Oficial,Privado,Persona Natural,KR 5 # 48 P - 59 SUR,7392461,,colegiogustavoadolfo@hotmail.com,,A,Completa,Preescolar / Básica Primaria / Básica Secundaria / Media,,,,,A,ELICIO DE JESUS LOPEZ FLECHAS,148,No Aplica,Urbana,Mixto,"-74,10833589618329","4,5513971948939025"
116,311001102821,COLEGIO INTEGRADO SANTO TORIBIO DE MOGROVEJO,A,No Oficial,Privado,Persona Natural,CL 49 A SUR # 5 A - 37,2793971,7696473,colegioistm@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,MOMOCA MOLENA CARREO SANCHEZ,479,"0,49",Urbana,Mixto,"-74,11230204619756","4,547318677882899"
117,311001051852,LICEO PSICOPEDAGOGICO SAN PABLO,A,No Oficial,Privado,Sociedad,KR 5 G # 48 P - 03 SUR,7723210 / 3004314100,7723210,liceopsicopedagogicosanpablo@gmail.com / administracion@liceosanpablo.edu.co,www.liceosanpablo.TK,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,RUTH MARY SILVA RAMOS,469,0,Urbana,Mixto,"-74,1118909977848","4,556025758868887"
118,311001031720,INSTITUTO PEDAGOGICO NUESTRA SEÑORA DE LAS LAJAS,A,No Oficial,Privado,Persona Natural,CL 48 L BIS SUR # 5 F - 26,2795462 / 7724515,7724515,insilajas@gmail.com / insilajas@yahoo.es,,A,Única,"Preescolar, Básica Primaria",,,,,No Aplica,MARIA LOURDES HAMON DE BASANTE,86,No Aplica,Urbana,Mixto,"-74,11068609737568","4,555824105540041"
119,311001093261,LICEO INFANTIL ERIKA,A,No Oficial,Privado,Persona Natural,KR 5 D # 48 M - 40 SUR,7140030,7675377,eliceoinfantilerika@yahoo.com,,A,Mañana,"Preescolar, Básica Primaria",,,,,No Aplica,YENNY PATRICIA GARCIA VARGAS,228,0,Urbana,Mixto,"-74,11151334064947","4,554728186841505"
120,311001106452,LICEO PEDAGOGICO MENDELEV,A,No Oficial,Privado,Persona Natural,DG 48 K BIS SUR # 5 N - 16,7600891 / 7600886,7600891,lpmendeleev@hotmail.com,,A,Completa,Preescolar / Básica Primaria,,,,,No Aplica,LUZ VARNED VELOZA CALDERON,303,0,Urbana,Mixto,"-74,11391630079682","4,557245284312212"
121,311001091862,COLEGIO DE ADMINISTRACION ROBERT OWEN,A,No Oficial,Privado,Persona Natural,KR 3 C # 48 R - 72 SUR,7713840,,colrobertowen@yahoo.com / colrobertowen@gmail.com,,A,Mañana,"Preescolar, Básica Primaria, Básica Secundaria, Media",Motora,,,,C,LUZ DARY MEJIA CASTAÑO,1057,0,Urbana,Mixto,"-74,10823867062177","4,548390166463026"
122,311001043787,INSTITUTO VILLA DE LA FRATERNIDAD,A,No Oficial,Privado,Persona Natural,KR 11 A # 32 A - 24 SUR,2787732,2787732,videfrat@hotmail.com,,A,Mañana,"Preescolar, Básica Primaria",Cognitiva,,,,No Aplica,MARY LUZ GALVIS FLOREZ,125,0,Urbana,Mixto,"-74,10385406558521","4,569193285918095"
