OBJECTID,Código del establecimiento,Nombre del establecimiento,Código de la sede,Nombre de la sede,Orden de la sede,Sector,Tipo de administración,Naturaleza jurídica,Dirección,Número telefónico,Número de fax,Correo electrónico,Página WEB,Calendario,Jornada,Nivel de atención,Modelo educativo,Proyecto pedagógico,Tipo de discapacidad atendida,Tipo de talento especial,Grupo étnico atendido,Situación de conflicto atendida,Beneficiarios refrigerio escolar,Beneficiarios comida caliente,Beneficiarios ruta escolar,Beneficiarios subsidio transporte,Usuarios programa “Al colegio en BICI”,Categoría por resultado pruebas SABER 11,Tasa de deserción escolar (%),Zona,Género,coord_x,coord_y
38,111001010839,COLEGIO EXTERNADO NACIONAL CAMILO TORRES (IED),111001010839,CAMILO TORRES,A,Oficial,Distrital,Oficial,KR 7 # 33 - 64,3380221,3380221 EXT 201,extcamilotorres3@redp.edu.co,www.iedcamilotorres.net,A,Única / Noche,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Educación para Jóvenes en Extraedad y Adultos,40X40,Motora,,Indígena / Afrocolombiano / Raizal,Desplazado / Desvinculado,700,0,46,42,0,No Aplica,0,Urbana,Mixto,"-74,06664467870709","4,620234030462347"
39,111001032409,COLEGIO JORGE SOTO DEL CORRAL (IED),111001032409,JORGE SOTO DEL CORRAL,A,Oficial,Distrital,Oficial,CL 3 # 1 A - 11 ESTE,3336312,3339729,coldijorgesotodelc3@redp.edu.co / iedjorgesotodelcorral@gmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,Auditiva / Visual / Cognitiva / Otra,,Indígena / Afrocolombiano,Desplazado,443,470,0,7,0,C,"17,0",Urbana,Mixto,"-74,07299833874416","4,587294913490217"
40,111001032409,COLEGIO JORGE SOTO DEL CORRAL (IED),111001015563,ATANASIO GIRARDOT,B,Oficial,Distrital,Oficial,CL 1 D BIS # 2 - 03 ESTE,2338397 / 2461139,2338397,coldijorgesotodelc3@redp.edu.co / iedjorgesotodelcorral@gmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,,Motora / Cognitiva,Capacidades Excepcionales,Indígena / Afrocolombiano,Desplazado / Hijo Desmovilizado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,07420747470985","4,584981288675545"
41,111001032409,COLEGIO JORGE SOTO DEL CORRAL (IED),111001015512,EL GUAVIO,C,Oficial,Distrital,Oficial,KR 4 A ESTE # 3 B - 46,2338357,3336312,coldijorgesotodelc3@redp.edu.co / iedjorgesotodelcorral@gmail.com,,A,Mañana,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,,Cognitiva / Otra,,Indígena / Afrocolombiano,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,07024250687849","4,588496876351415"
42,311001026441,COLEGIO LOS PINOS (IED),311001026441,LOS PINOS,A,Oficial,Distrital,Oficial,KR 6 B ESTE # 4 - 57,3337917 / 3338313 / 2896557,2896557,cedlospinos3@redp.edu.co / jcccol@aol.com / mabelcala@gmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,,,,Desplazado,992,0,0,5,0,C,"0,08",Urbana,Mixto,"-74,06830258244601","4,587677055734148"
43,311001026441,COLEGIO LOS PINOS (IED),111001013463,EFRAIN CAÑAVERA,B,Oficial,Distrital,Oficial,KR 7 ESTE # 5 - 20,2896101 / 3338313 EXT 104,3338313 EXT 104,cedlospinos3@redp.edu.co / jcccol@aol.com / mabelcala@gmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,,Otra,,,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,06636288169405","4,587321769455829"
44,311001026441,COLEGIO LOS PINOS (IED),111001013412,EL PAREJO,C,Oficial,Distrital,Oficial,CL 9 B # 6 - 27 ESTE,3337917 / 3338313 / 2867018,,cedlospinos3@redp.edu.co / jcccol@aol.com / mabelcala@gmail.com,,A,Mañana,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,,Cognitiva,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,06671205684498","4,591221715582726"
45,111001094901,COLEGIO MANUEL ELKIN PATARROYO (IED),111001094901,MANUEL ELKIN PATARROYO,A,Oficial,Distrital,Oficial,CL 32 A # 3 C - 37,3383844 / 3383933,3383922,cedmanuelpat3@redp.edu.co / cedmanuelelkinpat3@redp.edu.co,,A,Única,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,40X40,,,Afrocolombiano,,377,0,0,15,0,B,0,Urbana,Mixto,"-74,06448070366298","4,617985392445282"
1,111001029955,COLEGIO AGUSTIN FERNANDEZ (IED),111001029955,AGUSTIN FERNANDEZ,A,Oficial,Distrital,Oficial,KR 7 # 155 - 20,6791049 / 6692881,6791049 EXT 112,coldiagustinfernan1@redp.edu.co,,A,Mañana / Tarde / Noche,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Educación para Jóvenes en Extraedad y Adultos,40X40,Cognitiva,,Afrocolombiano,Desplazado / Desvinculado,2911,0,0,33,0,B,"12,2",Urbana,Mixto,"-74,02367860901063","4,729118988289358"
2,111001029955,COLEGIO AGUSTIN FERNANDEZ (IED),111848000244,SAN BERNARDO,B,Oficial,Distrital,Oficial,KR 1 A # 161 - 24,6771239,6771239,coldiagustinfernan1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,Cognitiva,,Afrocolombiano,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,01848587954447","4,7334733402738305"
3,111001029955,COLEGIO AGUSTIN FERNANDEZ (IED),111848003456,SANTA CECILIA ALTA,C,Oficial,Distrital,Oficial,KR 1 ESTE # 163 - 60,6799948,6799948,coldiagustinfernan1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,Cognitiva,,Afrocolombiano,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,01692472795492","4,734318869829458"
4,111001000132,COLEGIO AQUILEO PARRA (IED),111001000132,AQUILEO PARRA,A,Oficial,Distrital,Oficial,KR 18 A # 187 - 67,6704916 / 6745973 / 6771356 / 6714615,6704916 EXT 115,insdiaquileoparrav1@redp.edu.co,,A,Mañana / Tarde / Noche,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Educación para Jóvenes en Extraedad y Adultos,,Auditiva / Visual / Motora / Cognitiva / Múltiple / Otra,,,Desplazado / Desvinculado / Hijo Desmovilizado,5766,0,0,14,0,B,"6,25",Urbana,Mixto,"-74,0396103904746","4,765940729788074"
5,111848003031,COLEGIO CRISTOBAL COLON (IED),111848003031,CRISTOBAL COLON (SERVITA),A,Oficial,Distrital,Oficial,CL 165 # 8 A - 03,6788927 / 6799169 / 6719464 EXT 102,6774300,coldicristobalcolo1@redp.edu.co,,A,Única / Noche,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Educación para Jóvenes en Extraedad y Adultos,40X40,,,,,1309,0,0,3,0,B,"4,76",Urbana,Mixto,"-74,02602557716632","4,741373359138767"
6,111848003031,COLEGIO CRISTOBAL COLON (IED),111001046949,SANTA CECILIA BAJA,B,Oficial,Distrital,Oficial,KR 5 A # 163 D - 46,6788963 / 6799169,6774300,coldicristobalcolo1@redp.edu.co,,A,Única,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,02151395034858","4,738669583938658"
7,111848003031,COLEGIO CRISTOBAL COLON (IED),111848000074,SORATAMA,C,Oficial,Distrital,Oficial,CL 167 # 3 - 44,6798412 / 6782756,6774300 EXT 102,coldicristobalcolo1@redp.edu.co,,A,Única,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,01916675222417","4,743410792637634"
8,111848002689,COLEGIO DIVINO MAESTRO (IED),111848002689,PILOTO BAVARIA,A,Oficial,Distrital,Oficial,KR 8 C # 163 B - 20,5260767 / 5260673 / 5263620 / 6718692,5263620,coldivinomaestro1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,Cognitiva,,Afrocolombiano,,3726,620,0,23,0,B,0,Urbana,Mixto,"-74,02765903235647","4,739786406190324"
9,111848002689,COLEGIO DIVINO MAESTRO (IED),111848000091,DIVINO MAESTRO,B,Oficial,Distrital,Oficial,CL 164 # 7 F - 08,5260767 / 5263620,5263620,coldivinomaestro1@redp.edu.co,,A,Mañana / Tarde,Básica Primaria / Básica Secundaria,Educación Tradicional,,Motora / Cognitiva,Capacidades Excepcionales,Afrocolombiano,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,02509342324376","4,740122679175627"
28,111001034665,COLEGIO SAN MARTIN DE PORRES (IED),111001034665,SAN MARTIN DE PORRES,A,Oficial,Distrital,Oficial,CL 45 # 3 - 35 ESTE,2874186,2874186 / 3405585,escdisanmartindepo2@redp.edu.co / escsanmatindepo2@gmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,40X40,Cognitiva / Otra,,Indígena / Afrocolombiano,Desplazado,456,0,0,2,0,C,"6,22",Rural (Reserva Forestal),Mixto,"-74,05917203852458","4,629625077904888"
29,111001034665,COLEGIO SAN MARTIN DE PORRES (IED),111001014559,ANTONIO JOSE DE SUCRE,B,Oficial,Distrital,Oficial,KR 2 # 44 - 36,2328403,2328403 / 3405585,escdisanmartindepo2@redp.edu.co / escsanmatindepo2@gmail.com,,A,Mañana / Tarde,Básica Primaria / Básica Secundaria / Media,Educación Tradicional,40X40,Cognitiva,,,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,06117275195233","4,630709155594689"
30,111001016314,COLEGIO SIMON RODRIGUEZ (IED),111001016314,SIMON RODRIGUEZ,A,Oficial,Distrital,Oficial,CL 69 # 11 - 27,2358681,2358681 EXT 107,coldisimonrodrigue2@redp.edu.co,,A,Única,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,40X40,,,,,424,200,4,26,0,B,0,Urbana,Mixto,"-74,0612725556787","4,6540671734126935"
31,111001016314,COLEGIO SIMON RODRIGUEZ (IED),111001015261,NUEVA GRANADA,B,Oficial,Distrital,Oficial,CL 65 BIS # 3 - 30,2359052 / 2481580,2481580,coldisimonrodrigue2@redp.edu.co,,A,Única,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,,,Afrocolombiano,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,05655612914587","4,648425412258484"
32,111001016314,COLEGIO SIMON RODRIGUEZ (IED),111001020249,BOSQUE CALDERON TEJADA,C,Oficial,Distrital,Oficial,DG 58 # 4 - 74 ESTE,5407085,5407085,coldisimonrodrigue2@redp.edu.co,,A,Única,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,0543740431673","4,640251818622969"
33,111001036544,COLEGIO ANTONIO JOSE URIBE (IED),111001036544,ANTONIO JOSE URIBE,A,Oficial,Distrital,Oficial,CL 3 # 9 - 70,2893956 / 2894401,2894401,coldiantoniojoseur3@redp.edu.co,,A,Única / Noche,Básica Primaria / Básica Secundaria / Media,Educación Tradicional / Aceleración del Aprendizaje / Educación para Jóvenes en Extraedad y Adultos,40X40,Visual / Motora,,Indígena / Afrocolombiano,Desvinculado,290,500,0,7,0,C,"4,52",Urbana,Mixto,"-74,08195609531397","4,592502347995077"
34,111001036544,COLEGIO ANTONIO JOSE URIBE (IED),111001015491,LOS ANGELES,B,Oficial,Distrital,Oficial,CL 3 # 11 B - 40,2800433,,coldiantoniojoseur3@redp.edu.co,,A,Única,Preescolar,Preescolar Escolarizado,40X40,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,08464244339073","4,593700320109606"
35,111001102067,COLEGIO AULAS COLOMBIANAS SAN LUIS (IED),111001013242,AULAS COLOMBIANAS EL CONSUELO,A,Oficial,Distrital,Oficial,KR 11 ESTE # 1 A - 85,3281041 EXT 102 / 3283988,,escdiaulascolombia3@redp.edu.co,www.aulascolombianas.edu.co,A,Mañana / Tarde / Noche,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Educación para Jóvenes en Extraedad y Adultos,40X40,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,07130249915082","4,580813692019463"
36,111001102067,COLEGIO AULAS COLOMBIANAS SAN LUIS (IED),111001086371,SAN LUIS EL DORADO,B,Oficial,Distrital,Oficial,CL 1 A BIS # 7 B - 15 ESTE,3281041,3283988,escdiaulascolombia3@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,40X40,,,,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,0730739247888","4,580172614342145"
10,111848002689,COLEGIO DIVINO MAESTRO (IED),111848000058,SAN CRISTOBAL NORTE,C,Oficial,Distrital,Oficial,KR 7 D # 163 A - 56,6698282,6698282,coldivinomaestro1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,,Auditiva / Cognitiva / Otra,,Indígena / Afrocolombiano,,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,02441763682519","4,739235971914009"
11,111001044806,COLEGIO FRIEDRICH NAUMANN (IED),111001044806,FRIEDRICH NAUMANN,A,Oficial,Distrital,Oficial,AK 7 # 171 B - 26,6796109,6682577 EXT 102,cedfriedrichnauma1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,Motora / Cognitiva,,Afrocolombiano,Desplazado,1320,715,35,24,0,B,"4,87",Urbana,Mixto,"-74,0229561173838","4,749276992124631"
12,111001044806,COLEGIO FRIEDRICH NAUMANN (IED),111848000198,EL CODITO,B,Oficial,Distrital,Oficial,CL 182 # 6 - 30,6699514,6682577 EXT 101,cedfriedrichnauma1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,,Auditiva / Motora / Cognitiva / Autismo,,Afrocolombiano,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,02531988852688","4,758460756226246"
13,111848003910,COLEGIO GENERAL SANTANDER (IED),111848003910,GENERAL SANTANDER,A,Oficial,Distrital,Oficial,CL 159 # 8 - 56,6788559 / 6788487,6788559,coldigeneralsantan1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,Motora,,,,1053,0,133,13,0,B,"3,53",Urbana,Mixto,"-74,02823766867199","4,734989997508317"
14,111001086681,COLEGIO NUEVO HORIZONTE (IED),111001086681,NUEVO HORIZONTE,A,Oficial,Distrital,Oficial,KR 5 B # 189 B - 30,6793861 / 6796685,6793861 / 6796685 / 6793867,cednvohorizonte1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje,,Visual / Cognitiva,,Afrocolombiano,,5156,0,292,5,0,C,"0,29",Urbana,Mixto,"-74,02558036223003","4,7668074547641135"
15,111001086681,COLEGIO NUEVO HORIZONTE (IED),111848004053,BUENAVISTA,B,Oficial,Distrital,Oficial,CL 190 # 4 - 15,6799984 / 6793867,,cednvohorizonte1@redp.edu.co,,A,Mañana / Tarde,Básica Primaria,Educación Tradicional / Aceleración del Aprendizaje,,Visual / Cognitiva / Otra,,Indígena / Afrocolombiano,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,02437222878422","4,766833907269565"
16,111001086681,COLEGIO NUEVO HORIZONTE (IED),111001041629,HORIZONTE,C,Oficial,Distrital,Oficial,KR 3 # 186 B - 04,6790669 / 6793861,6793867,cednvohorizonte1@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje,,Visual / Cognitiva,,Afrocolombiano,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Rural (Reserva Forestal),Mixto,"-74,02310929271616","4,762932803872357"
17,111001086681,COLEGIO NUEVO HORIZONTE (IED),211848000141,TORCA,D,Oficial,Distrital,Oficial,KR 7 CL 224 COSTADO SUR ORIENTAL,6761875 / 6761859,6761875,cednvohorizonte1@redp.edu.co,,A,Mañana,Básica Primaria / Básica Secundaria / Media,Educación Tradicional,,Cognitiva,,Afrocolombiano,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Rural (Reserva Forestal),Mixto,"-74,03011289823434","4,800494670852864"
18,111001107743,COLEGIO SALUDCOOP NORTE (IED),111001107743,SALUDCOOP NORTE,A,Oficial,Distrital,Oficial,CL 181 # 18 B - 83,6775954 / 6682102 EXT 104,6682102,colsaludcoopnorte@redp.edu.co,www.colsaludcoopnorte.edu.co,A,Mañana / Tarde,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional,,Auditiva / Visual / Motora / Cognitiva / Otra,,Afrocolombiano,Desplazado / Desvinculado,0,2033,19,47,0,B,"1,82",Urbana,Mixto,"-74,04035342118208","4,757552064447226"
64,111001018341,COLEGIO FRANCISCO JAVIER MATIZ (IED),111001018341,FRANCISCO JAVIER MATIZ,A,Oficial,Distrital,Oficial,KR 2 A # 29 A - 29 SUR / KR 3 # 29 - 28 SUR,2082080 / 2082082,2082082 EXT 0,cedfranciscojavie4@redp.edu.co,www.franciscojaviematiz.blogspot.com,A,Mañana / Tarde,Básica Primaria / Básica Secundaria / Media,Educación Tradicional,,Auditiva / Motora / Cognitiva,,Indígena / Afrocolombiano,Desplazado,1583,0,0,33,0,B,"13,6",Urbana,Mixto,"-74,09379929447528","4,565424873687009"
65,111001018341,COLEGIO FRANCISCO JAVIER MATIZ (IED),111001018414,SURAMERICA,B,Oficial,Distrital,Oficial,KR 3 B # 30 A - 42 SUR,3636848,,cedfranciscojavie4@redp.edu.co,www.franciscojaviematiz.blogspot.com,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,,Motora,Capacidades Excepcionales,Indígena / Afrocolombiano,Desplazado / Hijo Desmovilizado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,09487850799972","4,565832362984776"
66,111001011975,COLEGIO GRAN COLOMBIA (IED),111001011975,GRAN COLOMBIA,A,Oficial,Distrital,Oficial,KR 19 A ESTE # 9 A - 26 SUR,3335055,,cedgrancolombia4@redp.edu.co / cedgrancolombia4@gmail.com,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,,,,,Desplazado,158,0,0,0,0,No Aplica,"7,44",Urbana,Mixto,"-74,06878482414166","4,567372144784911"
67,111001014451,COLEGIO JOSE ACEVEDO Y GOMEZ (IED),111001014451,JOSE ACEVEDO Y GOMEZ,A,Oficial,Distrital,Oficial,KR 9 B ESTE # 28 - 81 SUR,3645126,,cedjoseacevedoygo4@redp.edu.co,,A,Mañana / Tarde,Básica Secundaria / Media,Educación Tradicional,,,,Afrocolombiano,Desplazado / Desvinculado,813,0,0,10,0,B,"0,35",Urbana,Mixto,"-74,0837228263563","4,562267377408158"
68,111001014451,COLEGIO JOSE ACEVEDO Y GOMEZ (IED),111001012211,RAMAJAL,B,Oficial,Distrital,Oficial,CL 30 A SUR # 9 A - 78 ESTE,3629133,,cedjoseacevedoygo4@redp.edu.co,,A,Mañana / Tarde,Preescolar / Básica Primaria,Preescolar Escolarizado / Educación Tradicional,,Motora / Cognitiva,,Afrocolombiano,Desplazado,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Urbana,Mixto,"-74,08284199677918","4,559615291665492"
69,111001035530,COLEGIO JOSE FELIX RESTREPO (IED),111001035530,JOSE FELIX RESTREPO,A,Oficial,Distrital,Oficial,KR 6 # 18 B - 04 SUR,2462211,2729185 EXT 104,coldijosefelixrest4@redp.edu.co / ylianartti8@yahoo.es,,A,Mañana / Tarde / Noche,Preescolar / Básica Primaria / Básica Secundaria / Media,Preescolar Escolarizado / Educación Tradicional / Aceleración del Aprendizaje / Educación para Jóvenes en Extraedad y Adultos,40X40,Auditiva / Visual / Cognitiva / Múltiple,,Indígena / Afrocolombiano,Desplazado / Desvinculado,3075,0,0,204,0,No Aplica,"11,1",Urbana,Mixto,"-74,08991762382693","4,5741532090763135"
